_rank|📈|_name|_score|_link|backdrop|class|clothing|color shade|emotion|eye|head|house of|mouth|name|texture|unique
99|🟢+503|BitToonDAO #955|198.7745166095053|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/955|Double Chups||Oriental Uniform|Allpeach Varitie|Angry|None|Reindeer Hoodie|Bull|None||Plastic|
100|🔴-31|BitToonDAO #377|198.68365342006967|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/377|Double Chups||None|Scalet Bluie|None|Confused Glasses|Viking Hat|Gold|Lollipop||Mummy|
101|🔴-18|BitToonDAO #146|198.34589442178472|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/146|Backpack||Kid's Overalls|Christmas Leafie|None|None|Crown|Blockchain|Bandage||Clay Dough|
102|🟢+500|BitToonDAO #704|197.4283608088585|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/704|Oxygen Tank||Kid's Overalls|Sunset Rubie|None|Thug Life|Devil Horns|Officer|None||Jelly Bowl|
103|🔴-72|BitToonDAO #497|197.27332864307485|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/497|Skateboard||Kid's Overalls|Billiard Whitie|None|Thug Life|Chef Hat|Angel|None||Jelly Bowl|
104|🟢+498|BitToonDAO #757|197.03684586359432|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/757|Skateboard||Fur Coat|Dusty Cyanie|None|None|Pompadour|Vampire|None||Plastic|
105|🔴-95|BitToonDAO #158|195.73939871429099|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/158|Racket||Kid's Overalls|Flamingo Zirconie|None|None|None|Bank|Lollipop||Plastic|
106|🔴-50|BitToonDAO #503|195.4169778752881|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/503|Devil Wings||Oriental Uniform|Sunset Rubie|None|None|Tengu Mask|Media|Cigar||Clay Dough|
107|🟢+495|BitToonDAO #714|195.3228885524774|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/714|Skateboard||None|Scalet Bluie|None|Confused Glasses|Robinhood Hat|Pirate|Lollipop||Mummy|
108|🟢+494|BitToonDAO #887|195.12138818836436|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/887|Skateboard||Gradient Shirt|Elegant Goldie|None|Goggles|Tribal Hat|Bull|Crow Beak||Plastic|
109|🔴-47|BitToonDAO #175|194.5295911438965|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/175|Skateboard||Oriental Uniform|Sunset Rubie|None|None|Tengu Mask|Vampire|Cigar||Clay Dough|
