_rank|📈|_name|_score|_link|backdrop|clothing|color shade|emotion|eye|head|house of|mouth|name|texture|unique
1588|🔴-23|BitToonDAO #1620|110.34153746505095|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1620|Devil Wings|Leather Jacket|Elegant Goldie|None|None|Pompadour|Miner|None||Ceramic|
1589|🔵|BitToonDAO #1396|110.28140630847764|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1396|Skateboard|Oriental Uniform|Dusty Cyanie|None|None|None|Virus|Lollipop||Plastic|
1590|🔴-23|BitToonDAO #1666|110.2705922314013|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1666|Double Chups|Count|Sunset Rubie|None|Bozo Glasses|None|Dragon|None||Plastic|
1591|🔵|BitToonDAO #1091|110.24871974870968|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1091|Oxygen Tank|Leather Jacket|Dusty Cyanie|None|None|Cat Earphones|Phoenix|Leather Mask||Jelly Bowl|
1592|🔵|BitToonDAO #962|110.22349184495363|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/962|Oxygen Tank|Leather Jacket|Scalet Bluie|None|None|Undercut|Cash|Leather Mask||Jelly Bowl|
1593|🔵|BitToonDAO #425|110.22212229885255|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/425|Butterfly Wings|Leather Jacket|Flamingo Zirconie|None|None|Witch Hat|Prophet|None||Ceramic|
1594|🟢+1|BitToonDAO #1729|110.19611464223924|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1729|Butterfly Wings|Leather Jacket|Morning Galaxie|None|Eye Pad|Pirate Hat|Phoenix|None||Plastic|
1595|🔴-26|BitToonDAO #881|110.13779616810884|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/881|Guitar|Peony Shirt|Dusty Cyanie|None|None|Lovelove Headband|Bank|Pipe||Plastic|
1596|🔴-28|BitToonDAO #1061|110.09759488900833|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1061|Backpack|Oriental Uniform|Ocean Canarie|None|Cyclops|Witch Hat|Pirate|None||Plastic|
1597|🔴-26|BitToonDAO #1174|110.09013995898383|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1174|RPG|Kid's Overalls|Dusty Cyanie|None|None|Frog Head|Market|None||Clay Dough|
1598|🔴-1|BitToonDAO #853|110.08281835406352|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/853|Devil Wings|None|Aurora Mistie|None|None|Witch Hat|Farmer|None||Plastic|
1599|🟢+2|BitToonDAO #328|110.03449727961403|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/328|BitToon Flag|Count|Morning Galaxie|None|Eyeglasses|Witch Hat|Tiger|None||Plastic|
1600|🔴-12|BitToonDAO #1236|110.03400388065447|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1236|RPG|T-Shirt|Elegant Goldie|None|Bozo Glasses|Tribal Hat|Gold|None||Jelly Bowl|
1601|🔴-20|BitToonDAO #656|110.03016112655168|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/656|BitToon Flag|Count|Morning Galaxie|None|Eyeglasses|Chubby Unicorn|Dragon|None||Plastic|
1602|🔴-2|BitToonDAO #884|109.99523081773556|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/884|Double Chups|Kid's Overalls|Emerald Jettie|None|Eye Pad|Pirate Hat|Bot|None||Plastic|
1603|🔴-25|BitToonDAO #260|109.93468005374191|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/260|Skateboard|T-Shirt|Elegant Goldie|None|Cyclops|Robinhood Hat|Government|None||Plastic|
1604|🔴-1|BitToonDAO #1254|109.89985550522472|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1254|Devil Wings|Oriental Uniform|Morning Galaxie|None|Bozo Glasses|None|Phoenix|None||Plastic|
1605|🔴-35|BitToonDAO #1618|109.87299867529285|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1618|Double Chups|Superstar Sweater|Autumn Lillie|None|None|Lovelove Headband|Dragon|None||Plastic|
1606|🔴-1|BitToonDAO #693|109.86922819228606|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/693|RPG|T-Shirt|Silver Lavandie|None|Eye Pad|Pirate Hat|Bot|None||Plastic|
1607|🔴-22|BitToonDAO #163|109.85666208739023|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/163|Angel Wings|Kid's Overalls|Ocean Canarie|None|None|Pompadour|Dragon|None||Plastic|
