rank|name|score|link|Background|Mask|Eye|Mouth|Head|Holo Suit
113|Holo Mask : White & Black #3726|548.7499628899756|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/3726|Sky|Jazmin White 2 Color|Axel|Luna|Maxwell Black|Henry White
113|Holo Mask : White & Black #4183|548.7499628899756|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/4183|Sky|Lily 2 Color|Jason|Liana|Gavin White|Jeremiah White
121|Holo Mask : White & Black #136|548.6436740329693|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/136|Sky|Madison 2 Color|Leonardo|Nellie|Damian Black|Joseph White
122|Holo Mask : White & Black #26|545.5991676004434|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/26|Sunshine|Camila 2 Color|Jameson|Melda|Bennett Black|Lincoln White
122|Holo Mask : White & Black #63|545.5991676004434|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/63|Sunshine|Grace 2 Color|Xavier|Naya|Diego Black|Joseph White
122|Holo Mask : White & Black #489|545.5991676004434|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/489|Vince|Emma 2 Color|Everett|Mila|Brandon Black|Ethan White
122|Holo Mask : White & Black #602|545.5991676004434|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/602|Trey|Mia 2 Color|Xavier|Naila|Gael Black|Jaxson White
122|Holo Mask : White & Black #809|545.5991676004434|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/809|Trey|Kaden White 2 Color|Sawyer|Nilda|Bennett Black|Mateo White
122|Holo Mask : White & Black #1421|545.5991676004434|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/1421|Vince|Abigail 2 Color|Parker|Nina|Ivan White|Ethan White
122|Holo Mask : White & Black #1951|545.5991676004434|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/1951|Vince|Camila 2 Color|Miles|Niada|Weston White|Lincoln White
122|Holo Mask : White & Black #2109|545.5991676004434|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2109|Sunshine|Jenna White 2 Color|Miles|Nyla|Maxwell Black|Theodore White
122|Holo Mask : White & Black #2338|545.5991676004434|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2338|Sunshine|Emma 2 Color|Everett|Nyla|Gavin White|Michael White
122|Holo Mask : White & Black #2464|545.5991676004434|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2464|Vince|Stella 2 Color|Wesley|Nadia|Brandon Black|Jayden White
122|Holo Mask : White & Black #2485|545.5991676004434|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2485|Vince|Zoey 2 Color|Parker|Mila|Declan White|Joshua White
122|Holo Mask : White & Black #2535|545.5991676004434|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2535|Vince|Sofia 2 Color|Jace|Nilda|Declan Black|Josiah White
