_rank|📈|_name|_score|_link|class|extra|eyewear|headwear|outfit|skin|special
120|🟢+327|BullMoon #1051|1166.3733569460842|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1051|rare||sci-fi 1|leather hat|extra 1|lychee|jetpack
120|🟢+327|BullMoon #1080|1166.3733569460842|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1080|rare||sci-fi 1|leather hat|extra 1|rose|jetpack
122|🟢+325|BullMoon #413|1143.9209759937032|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/413|rare||ray ban|leather hat|armor set 2|dark gray|armor set 2
122|🟢+325|BullMoon #487|1143.9209759937032|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/487|rare||ray ban|leather hat|armor set 2|lime green|armor set 2
122|🟢+325|BullMoon #637|1143.9209759937032|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/637|rare||ray ban|leather hat|armor set 2|fresh blue|armor set 2
122|🟢+325|BullMoon #640|1143.9209759937032|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/640|rare||ray ban|leather hat|armor set 2|dark gray|armor set 2
122|🟢+325|BullMoon #645|1143.9209759937032|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/645|rare||ray ban|leather hat|armor set 2|pale yellow|armor set 2
122|🟢+325|BullMoon #999|1143.9209759937032|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/999|rare||ray ban|leather hat|armor set 2|lime green|armor set 2
128|🟢+319|BullMoon #819|1142.9770562770561|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/819|rare||ray ban|hair|extra 1|vivid lavender|jetpack
129|🟢+318|BullMoon #798|1104.7764111332763|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/798|rare||carnival mask|leather hat|polo t-shirt|reddish black|golf bag
129|🟢+318|BullMoon #805|1104.7764111332763|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/805|rare||carnival mask|leather hat|polo t-shirt|light cyan mint|golf bag
