_rank|_name|_score|_link|Background|Eyes|Eyewear|Face Accessory|Friend|Hair|Mouth|Outfit|Skin|Special Adventurer|Weapon
1|Sobta Magic #272|838.5|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/272|Epic - Magic Cafe||||NUMBERS GANGSTER|||||NUMBERS GANGSTER|
2|Sobta Magic #482|791.9166666666667|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/482|Epic - Magic Cafe||||Grekka|||||Grekka|
3|Sobta Magic #189|733.6875|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/189|Epic - Magic Cafe||||Alpha|||||Titan Cyborg|
4|Sobta Magic #532|725.4102216944551|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/532|Rare - Earth|Normal|None|Plaster|Little Magic School|Brown Spiky|Wafer Roll|Sci-Fi Suit|Honey Skin||Bunching Onion
5|Sobta Magic #210|723.054347826087|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/210|Epic - Magic Cafe||||Jojo|||||Monkey King|
6|Sobta Magic #399|714.9127717714227|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/399|Rare - Day Dream|Happy|None|Tattoo|HUUYAOW|Red Helmet|Strawberry Stick|School Uniform|Espresso Skin||Nature Staff
7|Sobta Magic #205|485.89668183916746|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/205|Rare - Morest|Surprised|Scounter|None|YOKEiTO|Blue Helmet|Wafer Roll|Pink Overalls|Fire Cyborg||Baseball Bat
8|Sobta Magic #442|459.148343436401|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/442|Rare - Night Dream|Bored|None|Star Sticker|Analog Doll|Blonde Palm Tree|O Mouth|Sci-Fi Suit|Aqua Mutant||Fountain Pen
9|Sobta Magic #317|453.8454157845668|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/317|Rare - Night Dream|Surprised|None|Star Sticker|Alpaca Chill|White Bubble|Grin|Docter Suit|Espresso Skin||Carrot
10|Sobta Magic #555|441.9376525044188|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/555|Rare - Earth|Normal|None|None|Alpaca Chill|Black Bucket Hat|Lollipop|Black Overalls|Fire Cyborg||Wrench
11|Sobta Magic #448|417.1504037106577|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/448|Rare - Cybertron|Sad|None|Star Sticker|Pony Cat|Black Bucket Hat|Tongue Out|Hoodie|Almond Skin||Bunching Onion
12|Sobta Magic #288|414.8398001390789|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/288|Rare - Earth|Fascinated|Heart Glasses|None|Analog Doll|Black Comma|Triangle|Barista Suit|Honey Skin||Wrench
13|Sobta Magic #499|406.25985513850895|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/499|Rare - Earth|Bored|Red Glasses|Pain Relief Patch|YOKEiTO|Captain Girl|Triangle|White T-Shirt|Milk Tea Skin||Guitar
14|Sobta Magic #327|397.3821749743885|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/327|Rare - Day Dream|Angry|Red Glasses|None|Pony Cat|Blue Helmet|Tongue Out|Barista Suit|Honey Skin||Wrench
15|Sobta Magic #230|315.1699001859383|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/230|Rare - Day Dream|Sad|None|None|GINGA|Brown Bubble|Smile|Business Suit|Ice Cyborg||Nature Staff
16|Sobta Magic #149|300.9990493454657|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/149|Rare - Day Dream|Wink|None|Star Sticker|GINGA|Brown Palm Tree|Lollipop|Black Overalls|Espresso Skin||Laser Gun
17|Sobta Magic #377|297.70648933444454|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/377|Rare - Apezilon|Normal|Digital Glasses|Pain Relief Patch|Marine|Orange Hime Cut|Leaf|Aloha Shirt|Almond Skin||Guitar
18|Sobta Magic #53|292.7816343335753|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/53|Rare - Earth|Normal|Scounter|Plaster|My Eyes|Blonde-Brown Man Bun|Tongue Out|Yellow T-Shirt|Caramel Ape||Guitar
19|Sobta Magic #78|289.5195417560964|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/78|Rare - Day Dream|Fascinated|Heart Glasses|Sobta Sticker|GINGA|Blonde-Brown Man Bun|Grumpy|White Overalls|Espresso Skin||Carrot
20|Sobta Magic #271|286.5605815135227|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/271|Rare - Earth|Surprised|Sunglasses|Tattoo|My Eyes|Orange Spiky|Smirk|White T-Shirt|Vanilla Ape||Nature Staff
21|Sobta Magic #120|286.2215232153965|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/120|Rare - Apezilon|Normal|None|Star Sticker|Grekka|Captain Boy|Leaf|Fur Jacket|Vanilla Ape||Wrench
22|Sobta Magic #91|286.0682752933984|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/91|Rare - Day Dream|Normal|Sunglasses|Plaster|GINGA|White Bucket Hat|Choco Donut|White Overalls|Vanilla Ape||Bunching Onion
23|Sobta Magic #479|279.1549421030461|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/479|Rare - Night Dream|Angry|None|Plaster|NUMBERS GANGSTER|Blonde Palm Tree|Grumpy|Black Jacket|Earth Mutant||Wrench
24|Sobta Magic #550|275.05634081972363|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/550|Rare - Apezilon|Normal|Sunglasses|None|My Eyes|Blue Hime Cut|Grumpy|White Overalls|Milk Skin||Boomerang
25|Sobta Magic #170|273.9147917516994|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/170|Rare - Apezilon|Wink|Sunglasses|None|Grekka|Red Helmet|Grin|White T-Shirt|Earth Mutant||Nature Staff
26|Sobta Magic #286|268.11538498401467|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/286|Rare - Earth|Angry|None|None|NUMBERS GANGSTER|Red Ponytail|Wafer Roll|White Overalls|Aqua Mutant||Wrench
27|Sobta Magic #148|266.20918292435147|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/148|Rare - Day Dream|Surprised|None|None|NUMBERS GANGSTER|Brown Bubble|Wafer Roll|White Overalls|Vanilla Ape||Sketch Board
28|Sobta Magic #316|253.66622279769206|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/316|Rare - Day Dream|Angry|Red Glasses|Pain Relief Patch|Grekka|Orange Hime Cut|Strawberry Stick|Sailor Suit|Vanilla Ape||Baseball Bat
29|Sobta Magic #184|253.46678220783105|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/184|Rare - Morest|Bored|Diamond Glasses|None|Alpha|Orange Hime Cut|Open Smile|Docter Suit|Milk Tea Skin||Guitar
30|Sobta Magic #405|251.49976159207296|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/405|Rare - Morest|Happy|None|None|My Eyes|Blue Helmet|Grumpy|White T-Shirt|Milk Tea Skin||Boomerang
31|Sobta Magic #21|251.21338432800005|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/21|Rare - Earth|Wink|Digital Glasses|Pain Relief Patch|Miw Miw|Pink Inverted Bob|Leaf|Black Jacket|Chocolate Skin||Coffee Cup
32|Sobta Magic #38|247.24417819986556|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/38|Rare - Night Dream|Angry|None|None|My Eyes|Black Comma|Grumpy|Hoodie|Aqua Mutant||Lollipop
33|Sobta Magic #488|241.81546383193688|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/488|Rare - Morest|Wink|Red Glasses|Rainbow Sticker|Kabo|Blonde Dreadlocks|Smile|Adventure Suit|Earth Mutant||Squeaky Hammer
34|Sobta Magic #348|239.37827458946506|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/348|Rare - Night Dream|Fascinated|Sunglasses|None|Grekka|Black Dreadlocks|Grin|Fur Jacket|Honey Skin||Baseball Bat
35|Sobta Magic #175|235.8417036237929|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/175|Rare - Day Dream|Normal|None|None|Grekka|Captain Girl|Wafer Roll|Sci-Fi Suit|Honey Skin||Baseball Bat
36|Sobta Magic #462|223.57750474265939|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/462|Common - Sky|Angry|Digital Glasses|None|Marine|White Bubble|Smirk|White T-Shirt|Almond Skin||Fire Staff
37|Sobta Magic #404|223.0136095437216|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/404|Rare - Earth|Angry|Red Glasses|Star Sticker|Alpha|Black Bucket Hat|Lollipop|Sci-Fi Suit|Lava Mutant||Boomerang
38|Sobta Magic #236|219.44236951915872|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/236|Common - Sky|Fascinated|Scounter|Tattoo|None|Pink Side Braid|Lollipop|Adventure Suit|Earth Mutant||Coffee Cup
39|Sobta Magic #467|214.9172955300878|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/467|Common - Charcoal|Bored|Scounter|Tattoo|Florae|Captain Boy|Leaf|School Uniform|Almond Skin||Coffee Cup
40|Sobta Magic #42|213.8851035264982|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/42|Rare - Earth|Fascinated|None|Pain Relief Patch|Marine|Blue Double Braid|Tongue Out|Denim Shirt|Almond Skin||Baseball Bat
41|Sobta Magic #369|213.52109184711378|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/369|Rare - Night Dream|Sad|None|Sobta Sticker|Kabo|Blue Messy|Wafer Roll|Sailor Suit|Honey Skin||Nature Staff
42|Sobta Magic #173|211.766610585675|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/173|Rare - Earth|Happy|None|None|Florae|Red Ponytail|Grin|Yellow T-Shirt|Ice Cyborg||Water Staff
43|Sobta Magic #203|209.45707636928984|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/203|Rare - Apezilon|Angry|Scounter|None|Volcan|Brown Bubble|Tongue Out|Barista Suit|Almond Skin||Baseball Bat
44|Sobta Magic #373|207.67677016266023|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/373|Common - Charcoal|Fascinated|Red Glasses|Rainbow Sticker|Jojo|Orange Spiky|Triangle|Aloha Shirt|Espresso Skin||Scythe
45|Sobta Magic #229|207.60568135558202|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/229|Rare - Apezilon|Wink|Gold Glasses|None|Florae|Brown Palm Tree|Leaf|School Uniform|Chocolate Skin||Wrench
46|Sobta Magic #225|207.2557172369572|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/225|Rare - Morest|Normal|Heart Glasses|None|Miw Miw|Blonde-Brown Man Bun|Grin|Barista Suit|Milk Skin||Syringe
47|Sobta Magic #54|207.23160399327912|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/54|Common - Taro Milk|Bored|Digital Glasses|Rainbow Sticker|Volcan|Brown Bubble|Leaf|Black Jacket|Honey Skin||Squeaky Hammer
48|Sobta Magic #383|206.63709063951637|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/383|Rare - Morest|Fascinated|Heart Glasses|Tattoo|Jojo|White Bucket Hat|Smile|Pink Overalls|Milk Skin||Laser Gun
49|Sobta Magic #308|205.9060588695519|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/308|Common - Taro Milk|Surprised|Gold Monocle|Star Sticker|Alpha|Blonde-Brown Man Bun|Strawberry Stick|Sci-Fi Suit|Espresso Skin||Fountain Pen
50|Sobta Magic #310|205.54957465303576|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/310|Rare - Cybertron|Angry|Red Glasses|Rainbow Sticker|Poppo|Blonde Dreadlocks|Open Smile|White T-Shirt|Milk Tea Skin||Sketch Board
51|Sobta Magic #192|203.406617572937|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/192|Rare - Cybertron|Sad|Gold Monocle|None|Jojo|Pink Side Braid|Choco Donut|Fur Jacket|Milk Tea Skin||Coffee Cup
52|Sobta Magic #185|202.33070695964955|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/185|Rare - Earth|Normal|Heart Glasses|None|Marine|Brown Bubble|Leaf|Fur Jacket|Lava Mutant||Bunching Onion
53|Sobta Magic #420|201.20483544391058|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/420|Rare - Morest|Bored|None|None|Kabo|Blonde Double Braid|Strawberry Stick|Aloha Shirt|Aqua Mutant||Syringe
54|Sobta Magic #458|200.83993634355218|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/458|Common - Lemon|Surprised|Scounter|Plaster|None|White Undercut|Smirk|School Uniform|Fire Cyborg||Water Staff
55|Sobta Magic #330|200.06358529324032|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/330|Rare - Night Dream|Angry|Gold Glasses|None|Alpha|Orange Side Braid|O Mouth|Black Overalls|Lava Mutant||Bunching Onion
56|Sobta Magic #135|199.83570639948044|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/135|Rare - Night Dream|Normal|None|Tattoo|Marine|Captain Girl|Tongue Out|Fur Jacket|Aqua Mutant||Bunching Onion
57|Sobta Magic #88|196.93421641648186|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/88|Rare - Earth|Surprised|None|Tattoo|Florae|Red Helmet|Bubble Gum|Barista Suit|Vanilla Ape||Water Staff
58|Sobta Magic #522|196.73461364620164|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/522|Rare - Day Dream|Wink|Sunglasses|None|Jojo|Red Helmet|Rose|Hoodie|Milk Tea Skin||Scythe
59|Sobta Magic #251|196.20148943670108|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/251|Rare - Apezilon|Sad|None|Rainbow Sticker|Alpha|Orange Pigtails|Smile|Aloha Shirt|Chocolate Skin||Wrench
60|Sobta Magic #556|195.0324383126607|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/556|Rare - Cybertron|Normal|Gold Glasses|Star Sticker|Miw Miw|Black Comma|O Mouth|Aloha Shirt|Milk Tea Skin||Wrench
61|Sobta Magic #114|194.4639263690949|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/114|Common - Sky|Happy|None|None|Florae|Pink Side Braid|Rose|Adventure Suit|Milk Skin||Syringe
62|Sobta Magic #539|193.36924524758845|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/539|Common - Cookie|Wink|Heart Glasses|None|None|Blue Double Braid|Strawberry Stick|Fur Jacket|Aqua Mutant||Scythe
63|Sobta Magic #240|193.03723598211212|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/240|Common - Sky|Happy|Heart Glasses|Sobta Sticker|Poppo|Blonde Double Braid|Choco Donut|School Uniform|Espresso Skin||Laser Gun
64|Sobta Magic #408|193.02520981672086|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/408|Rare - Day Dream|Surprised|Gold Monocle|Sobta Sticker|Jojo|White Undercut|Strawberry Stick|Denim Shirt|Almond Skin||Lollipop
65|Sobta Magic #495|192.39024642056106|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/495|Common - Cotton Candy|Surprised|Gold Glasses|Plaster|None|White Bucket Hat|Bread|Adventure Suit|Fire Cyborg||Bunching Onion
66|Sobta Magic #137|192.1413314364949|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/137|Rare - Apezilon|Surprised|Red Glasses|None|Volcan|Brown Spiky|Smile|School Uniform|Honey Skin||Squeaky Hammer
67|Sobta Magic #55|192.0398703679831|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/55|Common - Lemon|Sad|Scounter|Sobta Sticker|None|Black Comma|Lollipop|School Uniform|Caramel Ape||Syringe
68|Sobta Magic #340|192.01492174647638|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/340|Rare - Night Dream|Sad|Heart Glasses|Sobta Sticker|Florae|Blue Messy|Grumpy|Aloha Shirt|Milk Skin||Baseball Bat
69|Sobta Magic #228|190.94577720831415|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/228|Common - Taro Milk|Sad|Diamond Glasses|None|Volcan|Blonde Double Braid|Bread|Adventure Suit|Milk Skin||Fountain Pen
70|Sobta Magic #356|190.90008152436025|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/356|Rare - Morest|Fascinated|Sunglasses|None|Alpha|White Bucket Hat|Triangle|Black Jacket|Honey Skin||Coffee Cup
71|Sobta Magic #364|190.61428277371397|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/364|Common - Lemonade|Bored|Gold Glasses|None|Marine|Pink Side Braid|O Mouth|Hoodie|Milk Skin||Boomerang
72|Sobta Magic #507|190.5191394107002|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/507|Common - Cotton Candy|Sad|None|Pain Relief Patch|Florae|Red Ponytail|Bread|Sci-Fi Suit|Caramel Ape||Fire Staff
73|Sobta Magic #237|190.44891722609117|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/237|Rare - Night Dream|Angry|Gold Glasses|Plaster|Jojo|Green Light Undercut|Triangle|Black Jacket|Milk Skin||Sketch Board
74|Sobta Magic #445|190.4210819840136|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/445|Rare - Night Dream|Bored|None|Rainbow Sticker|Volcan|Black Dreadlocks|Smirk|Black Overalls|Almond Skin||Water Staff
75|Sobta Magic #112|190.02668376787182|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/112|Rare - Morest|Happy|None|Sobta Sticker|Poppo|Violet Ponytail|Bread|Denim Shirt|Milk Skin||Wrench
76|Sobta Magic #394|189.8515645613619|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/394|Common - Sky|Sad|Scounter|Pain Relief Patch|None|Captain Boy|Open Smile|White T-Shirt|Earth Mutant||Laser Gun
77|Sobta Magic #49|189.59167521673191|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/49|Common - Sunset|Wink|Heart Glasses|Star Sticker|None|Blonde-Brown Man Bun|Wafer Roll|Docter Suit|Fire Cyborg||Baseball Bat
78|Sobta Magic #252|189.0864291446038|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/252|Common - Lemon|Happy|None|Sobta Sticker|None|Pink Inverted Bob|Choco Donut|Adventure Suit|Lava Mutant||Laser Gun
79|Sobta Magic #291|187.08256994773848|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/291|Common - Cotton Candy|Sad|None|None|Florae|Blue Messy|Grin|Docter Suit|Milk Skin||Water Staff
80|Sobta Magic #201|186.85131813008334|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/201|Rare - Day Dream|Angry|Scounter|None|Volcan|Black Comma|Bread|Business Suit|Almond Skin||Bunching Onion
81|Sobta Magic #410|186.53425795513823|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/410|Common - Sky|Bored|Diamond Glasses|Tattoo|Volcan|Green Comma|Open Smile|Sailor Suit|Milk Skin||Sketch Board
82|Sobta Magic #19|186.4229678977527|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/19|Common - Lemon|Fascinated|Scounter|Sobta Sticker|None|Pink Inverted Bob|Grin|Business Suit|Almond Skin||Lollipop
83|Sobta Magic #298|186.1910508092656|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/298|Rare - Cybertron|Wink|None|Pain Relief Patch|Alpha|Brown Palm Tree|Smirk|Barista Suit|Lava Mutant||Coffee Cup
84|Sobta Magic #425|185.73982265499117|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/425|Rare - Night Dream|Surprised|Gold Monocle|None|Volcan|White Bubble|Bread|Barista Suit|Lava Mutant||Coffee Cup
85|Sobta Magic #238|185.65592701121872|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/238|Rare - Earth|Normal|Heart Glasses|None|Miw Miw|Orange Pigtails|Rose|Business Suit|Earth Mutant||Bunching Onion
86|Sobta Magic #465|184.7286390467669|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/465|Rare - Cybertron|Normal|None|Pain Relief Patch|Florae|Blonde Dreadlocks|Rose|Fur Jacket|Honey Skin||Baseball Bat
87|Sobta Magic #389|184.23672209622126|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/389|Common - Taro Milk|Angry|Digital Glasses|None|None|Captain Boy|Leaf|White T-Shirt|Caramel Ape||Bunching Onion
88|Sobta Magic #305|183.87405618519222|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/305|Rare - Apezilon|Surprised|None|None|Miw Miw|Blonde Double Braid|Smirk|Black Jacket|Milk Skin||Baseball Bat
89|Sobta Magic #500|183.75041866028707|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/500|Common - Cookie|Fascinated|None|Plaster|Alpha|Blue Messy|Bubble Gum|White T-Shirt|Chocolate Skin||Sketch Board
90|Sobta Magic #87|182.38882484262916|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/87|Rare - Day Dream|Angry|Red Glasses|Plaster|Miw Miw|Green Light Undercut|Tongue Out|Yellow T-Shirt|Milk Skin||Nature Staff
91|Sobta Magic #263|181.44886769883377|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/263|Rare - Night Dream|Normal|None|Pain Relief Patch|Kabo|Blonde Dreadlocks|Tongue Out|Denim Shirt|Almond Skin||Coffee Cup
92|Sobta Magic #525|181.34136096985685|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/525|Common - Charcoal|Normal|Gold Glasses|None|None|Green Light Undercut|Rose|Sci-Fi Suit|Chocolate Skin||Nature Staff
93|Sobta Magic #80|181.28235718529837|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/80|Rare - Day Dream|Fascinated|None|Rainbow Sticker|Florae|Captain Boy|Smirk|White T-Shirt|Espresso Skin||Fountain Pen
94|Sobta Magic #7|181.19550117135617|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/7|Common - Lemonade|Fascinated|Gold Monocle|Star Sticker|None|Black Comma|Strawberry Stick|Docter Suit|Milk Tea Skin||Water Staff
95|Sobta Magic #385|180.16974009480737|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/385|Common - Lemon|Angry|Gold Glasses|Plaster|None|Blonde-Brown Man Bun|Smile|Barista Suit|Ice Cyborg||Guitar
96|Sobta Magic #44|179.72428158878358|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/44|Rare - Cybertron|Happy|Red Glasses|Pain Relief Patch|Volcan|Red Ponytail|Smirk|White Overalls|Milk Tea Skin||Fountain Pen
97|Sobta Magic #417|179.60026313960944|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/417|Rare - Earth|Normal|Sunglasses|None|Kabo|Blue Double Braid|Grumpy|School Uniform|Espresso Skin||Bunching Onion
98|Sobta Magic #463|179.452157152852|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/463|Rare - Morest|Surprised|None|None|Poppo|Orange Pigtails|Strawberry Stick|Barista Suit|Milk Skin||Fountain Pen
99|Sobta Magic #35|179.10391133153735|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/35|Common - Peach|Surprised|Gold Monocle|None|None|Blue Double Braid|Rose|Sci-Fi Suit|Lava Mutant||Bunching Onion
100|Sobta Magic #536|178.92444566407275|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/536|Common - Cotton Candy|Fascinated|Gold Monocle|Pain Relief Patch|Florae|Blue Hime Cut|Leaf|Denim Shirt|Espresso Skin||Squeaky Hammer
101|Sobta Magic #92|178.76318519880135|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/92|Rare - Cybertron|Fascinated|None|None|Miw Miw|Red Ponytail|Smile|Business Suit|Milk Tea Skin||Bunching Onion
102|Sobta Magic #151|178.18483073735126|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/151|Common - Cookie|Wink|Gold Glasses|Star Sticker|Florae|Blue Hime Cut|Smile|Business Suit|Lava Mutant||Fountain Pen
103|Sobta Magic #247|177.58384953348838|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/247|Common - Sky|Angry|Scounter|Tattoo|None|Orange Hime Cut|Strawberry Stick|Hoodie|Milk Skin||Sketch Board
104|Sobta Magic #50|177.40427485708733|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/50|Common - Lemonade|Normal|Diamond Glasses|None|None|Orange Side Braid|Lollipop|Aloha Shirt|Chocolate Skin||Laser Gun
105|Sobta Magic #505|177.28279807721285|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/505|Common - Cookie|Bored|Gold Glasses|Pain Relief Patch|Kabo|Pink Side Braid|Choco Donut|Black Jacket|Espresso Skin||Carrot
106|Sobta Magic #181|176.89582372342716|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/181|Common - Peach|Bored|None|None|Miw Miw|Blue Double Braid|Open Smile|Fur Jacket|Milk Skin||Water Staff
107|Sobta Magic #433|175.89899077257974|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/433|Rare - Earth|Wink|None|Sobta Sticker|Poppo|Brown Palm Tree|Open Smile|School Uniform|Lava Mutant||Baseball Bat
108|Sobta Magic #311|175.41232555712668|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/311|Common - Lemon|Angry|Sunglasses|Rainbow Sticker|None|White Undercut|Open Smile|Sci-Fi Suit|Milk Skin||Squeaky Hammer
